cleaned,normalized,field_name,created_at
焼肉仔虎 エスパル仙台店,焼肉仔虎エスパル仙台店,店舗名,2025-07-28T05:05:26.313891
eggg park,eggg park,店舗名,2025-07-28T05:05:26.801439
くら寿司姶良店,くら寿司姶良店,店舗名,2025-07-28T05:05:27.402122
くら寿司 西宮今津店,くら寿司 西宮今津店,店舗名,2025-07-28T05:05:27.991776
餃子の王将 国道171号店,餃子の王将国道171号店,店舗名,2025-07-28T05:05:28.550925
江戸前回転鮨 弥一 岩出店,江戸前回転鮨弥一岩出店,店舗名,2025-07-28T05:05:29.055329
丸源ラーメン 高松上天神店,丸源ラーメン高松上天神店,店舗名,2025-07-28T05:05:29.584252
活魚寿司 鶴原店,活魚寿司鶴原店,店舗名,2025-07-28T05:05:30.080527
ステーキのあさくま 春日井店,ステーキのあさくま春日井店,店舗名,2025-07-28T05:05:30.571660
餃子の王将 長久手店,餃子の王将長久手店,店舗名,2025-07-28T05:05:31.110006
奥出雲そば処 一福 松江テルサ店,奥出雲そば処一福松江テルサ店,店舗名,2025-07-28T05:05:31.631882
株式会社 EPG,EPG,店舗名,2025-07-28T05:05:32.080964
キッチン けなり,キッチンけなり,店舗名,2025-07-28T05:05:32.704405
うなぎ 林屋,うなぎ林屋,店舗名,2025-07-28T05:05:33.135165
そば処 中野屋 湯沢本店,中野屋湯沢本店,店舗名,2025-07-28T05:05:33.590691
神戸クックワールドビュッフェ ライフガーデン水巻店,神戸クックワールドビュッフェライフガーデン水巻店,店舗名,2025-07-28T05:05:34.229270
欧風食堂 バンデ ミュール,欧風食堂 バンデ ミュール,店舗名,2025-07-28T05:05:34.822803
のうえんカフェ グリーンファーム館山店,農園カフェ グリーンファーム館山店,店舗名,2025-07-28T05:05:35.949810
天下一品 柏店,天下一品柏店,店舗名,2025-07-28T05:05:36.602888
丸源ラーメン 掛尾店,丸源ラーメン掛尾店,店舗名,2025-07-28T05:05:37.324563
PRIMO ルミネエスト新宿店,PRIMO ルミネエスト新宿店,店舗名,2025-07-28T05:05:37.791967
みやぎ ペリエ千葉店,宮城ペリエ千葉店,店舗名,2025-07-28T05:05:38.273309
和食麺処サガミ 津島埋田店,和食麺処サガミ津島埋田店,店舗名,2025-07-28T05:05:39.277926
iL CHIANTI CAFE 江の島,il chianti cafe江の島,店舗名,2025-07-28T05:05:39.779026
肉米 雄一飯店,肉米雄一飯店,店舗名,2025-07-28T05:05:40.748776
でりかおんどる 新大久保本店,でりかおんどる新大久保本店,店舗名,2025-07-28T05:05:41.344092
でりかおんどる 新大久保 2号店,でりかおんどる新大久保2号店,店舗名,2025-07-28T05:05:41.834155
海人料理 海邦丸,海人料理海邦丸,店舗名,2025-07-28T05:05:42.360297
麺場 田所商店 イオンモール岡崎店,麺場田所商店イオンモール岡崎店,店舗名,2025-07-28T05:05:43.010905
麺場 田所商店 堺鳳店,麺場田所商店堺鳳店,店舗名,2025-07-28T05:05:43.659363
麺場 田所商店 宮崎店,麺場田所商店宮崎店,店舗名,2025-07-28T05:05:44.106299
麺場 田所商店 大東店,麺場田所商店大東店,店舗名,2025-07-28T05:05:44.562605
麺場 田所商店 霧島国分店,麺場田所商店霧島国分店,店舗名,2025-07-28T05:05:45.159185
麺場 田所商店 千葉北店,麺場田所商店千葉北店,店舗名,2025-07-28T05:05:45.720218
河童ラーメン本舗 泉佐野店,河童ラーメン本舗泉佐野店,店舗名,2025-07-28T05:05:46.267301
河童ラーメン本舗 和泉店,河童ラーメン和泉店,店舗名,2025-07-28T05:05:46.770367
河童ラーメン本舗 八尾店,河童ラーメン八尾店,店舗名,2025-07-28T05:05:47.293623
WOODY,WOODY,店舗名,2025-07-28T05:05:47.890598
挽き肉のトリコ 渋谷店,挽き肉のトリコ渋谷店,店舗名,2025-07-28T05:05:48.564952
Manna 新宿中村店,Manna新宿中村店,店舗名,2025-07-28T05:05:49.642466
十勝豚丼いっぴん ステラプレイス店,十勝豚丼いっぴんステラプレイス店,店舗名,2025-07-28T05:05:50.610306
京都北白川ラーメン魁力屋 西大路西ノ京店,京都北白川ラーメン魁力屋 西大路西ノ京店,店舗名,2025-07-28T05:05:51.474633
京都北白川ラーメン魁力屋 三鷹大沢店,京都北白川ラーメン魁力屋三鷹大沢店,店舗名,2025-07-28T05:05:52.134326
京都北白川ラーメン魁力屋 堀川五条店,京都北白川ラーメン魁力屋堀川五条店,店舗名,2025-07-28T05:05:52.807166
京都北白川ラーメン魁力屋 篠崎店,京都北白川ラーメン魁力屋篠崎店,店舗名,2025-07-28T05:05:53.359298
京都北白川ラーメン魁力屋 朝比奈店,京都北白川ラーメン魁力屋朝比奈店,店舗名,2025-07-28T05:05:54.020822
京都北白川ラーメン魁力屋 瑞穂店,京都北白川ラーメン魁力屋瑞穂店,店舗名,2025-07-28T05:05:55.632411
京都北白川ラーメン魁力屋 鴫野店,京都北白川ラーメン魁力屋 鴫野店,店舗名,2025-07-28T05:05:56.360721
うなぎ 傳米,うなぎ傳米,店舗名,2025-07-28T05:05:57.157161
くら寿司川越的場店,くら寿司川越的場店,店舗名,2025-07-28T05:05:57.635128
味楽亭,味楽亭,店舗名,2025-07-28T05:05:58.082828
河童ラーメン本舗 香芝店,河童ラーメン本舗香芝店,店舗名,2025-07-28T05:05:58.646592
河童ラーメン本舗 守口店,河童ラーメン本舗守口店,店舗名,2025-07-28T05:05:59.284078
カルビ屋三夢 稲田店,カルビ屋三夢稲田店,店舗名,2025-07-28T05:05:59.825892
カルビ屋三夢 中野店,カルビ屋三夢中野店,店舗名,2025-07-28T05:06:00.307407
カルビ屋三夢 松本村井店,カルビ屋三夢松本村井店,店舗名,2025-07-28T05:06:00.862075
カルビ屋三夢 諏訪店,カルビ屋三夢諏訪店,店舗名,2025-07-28T05:06:01.418066
めん房 本陣 高柳店,めん房本陣高柳店,店舗名,2025-07-28T05:06:01.972267
廻る寿し 祭り 応神店,廻る寿し祭り応神店,店舗名,2025-07-28T05:06:02.651588
瀬戸の祭り寿し 兵庫町店,瀬戸の祭り寿し兵庫町店,店舗名,2025-07-28T05:06:03.551217
8TH SEA OYSTER Bar & Grill,8TH SEA OYSTER BAR & GRILL,店舗名,2025-07-28T05:06:04.274687
もんじゃ・お好み焼き わいず 所沢店,もんじゃお好み焼きわいず所沢店,店舗名,2025-07-28T05:06:04.919296
しゃぶしゃぶ トンキュホテ,しゃぶしゃぶトンキュホテ,店舗名,2025-07-28T05:06:05.506569
定越食堂,定越食堂,店舗名,2025-07-28T05:06:05.958381
くら寿司落合南長崎店,くら寿司落合南長崎店,店舗名,2025-07-28T05:06:06.552797
戸隠そば 草薙店,戸隠そば草薙店,店舗名,2025-07-28T05:06:07.067245
丸源ラーメン 市川大野店,丸源ラーメン市川大野店,店舗名,2025-07-28T05:06:07.534673
丸源ラーメン 仙台泉店,丸源ラーメン仙台泉店,店舗名,2025-07-28T05:06:08.003899
くら寿司 西陣店,くら寿司西陣店,店舗名,2025-07-28T05:06:08.456885
丸源ラーメン 宇都宮御幸ヶ原店,丸源ラーメン宇都宮御幸ヶ原店,店舗名,2025-07-28T05:06:08.966011
くら寿司 住之江北島店,くら寿司住之江北島店,店舗名,2025-07-28T05:06:09.443179
くら寿司 豊川インター店,くら寿司豊川インター店,店舗名,2025-07-28T05:06:09.927361
ハンバーグ オニオン 合川本店,ハンバーグオニオン合川店,店舗名,2025-07-28T05:06:10.558367
ハンバーグ オニオン 鳥栖店,ハンバーグオニオン鳥栖店,店舗名,2025-07-28T05:06:11.083117
ハンバーグ オニオン 大和店,ハンバーグオニオン大和店,店舗名,2025-07-28T05:06:11.596991
天ぷら海鮮 米福 京都木屋町店,天ぷら海鮮米福京都木屋町店,店舗名,2025-07-28T05:06:12.187259
焼肉トラジ イオンモール幕張新都心店,焼肉トラジイオンモール幕張新都心店,店舗名,2025-07-28T05:06:12.882968
神戸クックワールドビュッフェ 久留米店,神戸クックワールドビュッフェ久留米店,店舗名,2025-07-28T05:06:13.481454
築地食堂源ちゃん マークイズみなとみらい店,築地食堂源ちゃんマークイズみなとみらい店,店舗名,2025-07-28T05:06:14.073781
丸源ラーメン モラージュ菖蒲店,丸源ラーメンモラージュ菖蒲店,店舗名,2025-07-28T05:06:14.583424
くら寿司イオン那覇店,くら寿司イオン那覇店,店舗名,2025-07-28T05:06:15.036366
とんかつ水龍 寒川店,とんかつ水龍寒川店,店舗名,2025-07-28T05:06:15.796644
とんかつKYK 京都ポルタ店,とんかつKYK 京都ポルタ店,店舗名,2025-07-28T05:06:16.301842
ダイニング&バー 美味旬菜,ダイニング＆バー 美味旬菜,店舗名,2025-07-28T05:06:16.906608
濱かつ 福岡松崎店,濱かつ福岡松崎店,店舗名,2025-07-28T05:06:17.371301
らーめん専家 羅妃焚 江別店,らーめん専家羅妃焚江別店,店舗名,2025-07-28T05:06:19.454720
中華そば 芯せかい 本店,中華そば芯せかい,店舗名,2025-07-28T05:06:19.992511
中華そば 芯せかい エミフルMASAKI店,中華そば芯せかいエミフルMASAKI店,店舗名,2025-07-28T05:06:20.515631
(株)アールディーシー 熊谷支店 経営企画部 神辺,アールディーシー熊谷神辺,店舗名,2025-07-28T05:06:21.037469
欧風食堂 バンデ ミュール スタッフ,欧風食堂 バンデ ミュール スタッフ,店舗名,2025-07-28T05:06:21.871544
ギグワークス,ギグワークス,店舗名,2025-07-28T05:06:22.308062
湘南パンケーキ 所沢店,湘南パンケーキ所沢店,店舗名,2025-07-28T05:49:10.917461
医療法人社団 三紀会 木下病院,三紀会木下病院,店舗名,2025-07-28T05:49:11.365157
大戸屋ごはん処 ベルモール宇都宮,大戸屋宇都宮ベルモール,店舗名,2025-07-28T05:49:12.106447
NON-S丸井錦糸町店,ノンエスマルイキショチョウ店,店舗名,2025-07-28T05:49:12.699328
元祖あんこう鍋 山翠,山翠,店舗名,2025-07-28T05:49:13.091131
廻鮮寿司 吉恒,回転寿司吉恒,店舗名,2025-07-28T05:49:14.594450
ラーメン専家 羅妃焚 江別店,ラーメン専家羅妃焚江別店,店舗名,2025-07-28T05:49:15.198609
ラーメン専家 羅妃焚 イオン平岡,ラーメン専家羅妃焚イオン平岡,店舗名,2025-07-28T05:49:15.929486
芯せかい エミフルMASAKI店,芯世界MASAKI店,店舗名,2025-07-28T05:49:16.478890
じゅうじゅうカルビ 綱島店,じゅうじゅうカルビ綱島,店舗名,2025-07-28T05:49:17.018892
ロイヤルホスト 府中東店,ロイヤルホスト府中東店,店舗名,2025-07-28T05:49:17.479818
道頓堀みつる 本店,道頓堀みつる,店舗名,2025-07-28T05:49:17.930144
夜パフェ専門店パフェテイアベル,夜パフェ専門店パフェテイアベル,店舗名,2025-07-28T05:49:18.542059
鎌倉パスタ 京都伏見店,鎌倉パスタ伏見,店舗名,2025-07-28T05:49:19.110265
鎌倉パスタ なかもず店,鎌倉パスタなかもず,店舗名,2025-07-28T05:49:19.610371
焼肉きんぐ 豊山店,焼肉きんぐ豊山店,店舗名,2025-07-28T05:49:20.204677
焼肉おもに亭ララテラス南千住店,焼肉おもに亭南千住,店舗名,2025-07-28T05:49:20.734353
来来亭 山口湯田店,来来亭山口湯田店,店舗名,2025-07-28T05:49:21.203123
鎌倉パスタ イオンモール伊丹店,鎌倉パスタイオンモール伊丹,店舗名,2025-07-28T05:49:21.787429
世界の山ちゃん 女子大店,世界の山ちゃん女子大店,店舗名,2025-07-28T05:49:22.274896
炭火焼肉屋さかい 御坊店,炭火焼肉屋さかい御坊店,店舗名,2025-07-28T05:49:23.279108
炭火焼肉屋さかい 新宮店,炭火焼肉屋さかい新宮店,店舗名,2025-07-28T05:49:23.859610
炭火焼肉屋さかい 岩出店,炭火焼肉屋さかい岩出店,店舗名,2025-07-28T05:49:24.827514
濱かつ みらい長崎店,濱かつみらい長崎店,店舗名,2025-07-28T05:49:25.370657
回転寿司 喜楽 高槻大蔵司店,回転寿司喜楽高槻大蔵司店,店舗名,2025-07-28T05:49:26.028440
回転寿司 喜楽 高槻岡本店,回転寿司喜楽高槻岡本店,店舗名,2025-07-28T05:49:26.576260
回転寿司 喜楽 一文橋店,喜楽一文橋店,店舗名,2025-07-28T05:49:27.007631
GGC 前橋小相木店,GGC前橋小相木,店舗名,2025-07-28T05:49:27.560218
グルメ回転寿司ABURI百貫イオ,グルメ回転寿司ABURI百貫,店舗名,2025-07-28T05:49:28.205077
すしえもんBRANCH博多パピヨ,すしえもん博多パピヨ,店舗名,2025-07-28T05:49:28.667388
